RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
753905,"Newport, OR",400,281900,270100,266600,254700,239400,262700,262800,263600,231700,229900,261800,264500,261e3,231100,214100,203600,209500,231400,233100,241700,233800,247200,259800,244800,224600,187100,194200,189400,197900,198100,212700,213500,213900,214900,219400,215800,208100,210700,206100,198400,185800,173e3,180900,185600,196400,185200,175300,181400,196800,194e3,173900,159700,162500,181100,196200,213100,211900,193800,181500,197900,205600,205800,194600,196100,197400,197e3,199300,204500,199800,207400,205200,207300,198100,204300,206700,213e3,212700,218200,216600,213900,213300,216300,214800,223400,225400,228900,206300,199500,204800,218900,223900,226100,227900,224500,223e3,218200,223600,221300,223700,226400,226200,226700,227e3,225800,232800,229400,237200,239600,253500,25e4,247900,246500,246200,242200,245300,249300,253300,254600,264400,279500,276400,274200,267800,284100,278500,280700,261400,280800,287800,293300,
395201,"Wapakoneta, OH",401,107600,106100,107900,92e3,101900,98200,98600,88200,94700,92100,95800,84300,76600,71800,79100,89400,89600,91500,85700,91600,82700,87500,82700,93100,94600,94200,85500,80400,82600,83400,91300,84900,79100,74100,77900,86200,90800,92e3,96200,93400,95500,87500,85600,88800,102700,100100,94200,85700,96300,103300,102700,103500,93e3,94400,93800,94800,89400,91600,95200,98100,98e3,97500,103800,100200,101500,92700,85800,87600,90500,96500,92900,89800,85700,91100,99500,95e3,96200,94800,105400,102400,110400,110100,109900,103200,105500,106500,101e3,99700,91500,94400,93900,103100,98100,100600,106600,117600,115300,111900,109400,109400,108500,109500,114e3,112e3,114700,105300,111500,108200,114100,110700,104900,105e3,104800,111700,113600,117200,110500,109100,105700,112100,114900,121700,121500,123100,116400,120200,120400,127600,122800,120800,
394695,"Huntingdon, PA",402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101500,102200,102700,98700,89100,89600,101600,98400,101200,94800,97800,91200,86600,88400,92700,93400,98400,90800,94900,87100,92900,92500,92900,98e3,88500,91e3,96e3,102500,103400,92800,89600,90300,86800,86200,82e3,89500,87700,95300,99100,101900,95300,97300,102200,116900,103500,106200,88100,
394667,"Harrison, AR",403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91100,84700,92100,103400,110800,106700,105900,103e3,118100,125900,124400,113300,97400,100800,104500,119100,120200,115600,101600,103700,98e3,95700,97900,88700,104e3,103800,107300,98400,9e4,104700,109900,116900,121300,115700,107900,102200,11e4,108400,107700,1e5,108700,105800,111e3,104600,97900,101700,110100,117900,104600,96900,99400,105400,109600,112300,114400,115800,112700,111400,111700,110200,115200,123100,120600,121e3,108300,118900,116700,123900,118900,,,,,,,
395091,"Shelbyville, TN",404,84800,87300,85900,93200,87600,85300,79e3,82300,82300,82500,80700,81100,79700,84700,88500,94200,93100,89900,84900,82800,89800,92600,92400,85100,84e3,88500,89400,88700,78600,77e3,72e3,75100,74700,81700,92700,98600,96100,87200,82400,77700,77300,76800,75800,76800,80700,89400,89300,82700,81400,83500,86700,83800,81500,76200,74900,69200,71500,76100,85500,86e3,91400,90100,99800,94100,90200,84e3,85e3,87500,87900,88500,90100,96300,97700,97900,94200,95100,98300,99800,99300,99900,99300,1e5,102400,103800,104200,102400,103400,109500,111200,113300,108400,104100,106300,109500,114e3,113600,108800,113400,114400,118e3,119500,119400,123700,124400,127400,127200,127200,127700,129400,132900,134700,137100,134700,136900,139400,143300,143900,155100,161700,171100,161700,156500,154100,155700,151900,150200,155e3,162700,158200,149800,
394545,"Duncan, OK",405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77600,81700,78700,86800,88800,96800,91800,91200,86800,90300,96300,97300,97500,86300,79700,70400,76100,80100,83200,78700,84700,87e3,91200,86200,73300,72300,77200,82200,84600,74700,88300,80700,89200,87500,93800,99800,90700,84400,70900,71100,76700,70200,67300,68600,71700,74400,78e3,84200,88600,86100,78800,77800,78200,88300,1e5,1e5,91500,81800,90800,96100,101400,
394785,"Lewisburg, PA",406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138800,141400,143400,153300,14e4,140900,130800,147400,144600,148500,146300,151800,155800,148300,148400,144900,158900,166400,176400,171500,170600,162400,166400,16e4,166500,164700,155800,151300,163500,177900,184400,177900,184e3,173700,167100,164300,167800,170900,171300,169500,175700,168700,181700,173600,176200,159700,161400,167500,161500,168100,
395008,"Pullman, WA",407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242500,238100,235100,212300,205800,221300,225e3,232300,223500,222900,235500,243500,249100,228400,221900,224800,237900,236400,241100,256600,256300,258200,247200,257100,254600,261400,266800,268800,263600,
394379,"Bemidji, MN",408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109200,109500,97900,110500,116e3,113700,116300,114e3,105900,112900,117700,126200,123600,126700,130800,135700,125800,119100,103100,112800,116800,131800,115600,114100,108400,131800,139800,137600,134100,128200,129200,105100,96300,99400,121500,128900,111200,97600,100600,118700,127300,126e3,129400,133900,125800,111600,109500,99700,108e3,102700,112400,109600,115600,125500,132200,136300,138500,135800,138300,148e3,151900,154900,148800,158400,152700,149200,145900,144500,150500,152500,147600,137700,135600,141500,137300,132200,134900,137e3,13e4,126e3,133800,144400,133500,144e3,128800,144500,144300,164900,167300,153800,145400,131500,129800,138300,
394887,"Mount Sterling, KY",409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112800,100600,102900,111800,115600,111400,111500,111300,112300,11e4,112400,106600,110200,110200,113200,111400,106100,109e3,105500,101500,97700,102600,105400,117900,115300,125400,117700,120300,111200,107500,113200,112600,120300,97600,106900,113100,125500,129100,108100,111200,99400,120200,125700,132400,134900,
