RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
54666,Tehachapi,California,1308,253800,246200,237800,257e3,248100,235800,230700,213500,193800,183100,187200,191500,189800,177500,181300,179300,185600,181e3,173700,175e3,176700,187400,185400,188600,185600,176900,174400,170500,180600,174300,170200,164300,168e3,163e3,162800,159700,148400,142900,134400,132800,131e3,130900,137900,135700,137200,139700,138800,142e3,140300,149900,142100,141500,145700,147300,145300,142800,152e3,162400,164e3,165800,166400,167600,168900,171600,173900,179200,181200,186200,187400,189600,182100,180400,184900,190400,194700,194500,202e3,206700,213e3,205e3,218300,229200,240400,228e3,219800,213100,214600,216600,228900,228400,218700,209100,224600,233700,242400,233900,233100,238700,232500,234100,220500,221300,220300,231400,234600,237900,243100,263100,264300,264400,258600,261200,263e3,253700,257e3,255500,256400,257900,252800,280800,288300,297e3,286100,276800,275400,267700,268200,265700,259600,266300,
12817,Montrose,Colorado,1309,187900,183400,192300,194800,201500,204800,214200,212e3,196700,185e3,212900,213800,220800,192700,195700,184900,177800,186900,188300,192700,192100,183100,192700,173300,187800,181200,184200,169300,165600,177600,183700,176900,174300,170400,165300,145400,141500,148100,171e3,164800,163e3,142700,143400,139400,146900,144700,151200,142600,156400,149900,161600,164200,164600,160900,152100,178100,195e3,198500,180100,170300,169300,172200,173900,180900,178300,183200,181500,177700,168800,163100,164200,161300,168100,180400,180200,180200,172200,174900,166300,168900,176500,195700,205300,216e3,216700,205200,199900,188800,196500,193800,197500,196500,196900,195800,202900,197800,201e3,193100,200800,206900,217900,219500,220200,215e3,221e3,215800,210800,210600,209100,217e3,215800,216300,211600,211600,220800,236300,236300,242600,238400,232900,231300,233500,238500,241200,240100,254200,248700,250300,254200,259300,
46178,Lawndale,California,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382800,374700,434900,449300,479400,441e3,435600,425100,443700,457300,43e4,419400,425500,463400,459800,471e3,464e3,464100,467600,505500,521500,498400,463500,441800,486e3,525700,578700,562700,550100,512400,502300,537900,564100,576700
39511,Los Altos,California,1311,,,,,,,,,,,1521300,1501200,1438600,1322500,1301700,1338800,1379500,1395300,1507400,1520500,1510300,1429400,1452e3,1485800,1469600,1461700,1441800,1456900,1440400,1457100,1461200,155e4,1503500,1444500,1389100,1294100,1328400,1265800,1413e3,1473600,1555e3,1615200,1600100,1633500,1532e3,1609800,1521600,1630100,1584500,1686200,1692200,1686e3,1707700,1710400,1820900,1812800,1806200,1695500,1759100,1753600,1830800,1842700,1859900,1858800,1851800,1888900,1923500,1846100,1901200,1830500,1962800,1993700,2161200,2166800,2223600,2205500,2224900,2207600,2268900,2345500,2360400,2353400,2353100,2408900,2490200,2544e3,2533900,2498300,2556e3,2658600,2707400,2715300,2617500,2588300,2418300,2418700,2402500,2499800,2656500,2702700,2734100,2593500,2528e3,2484100,2482500,2332600,2577400,2471500,2617400,2440500,2605e3,2790100,2799700,2749800,2724300,2747400,2887900,2955700,3014400,3100700,3121400,3186600,3146300,3118100,3074700,3152400,3268600,3227e3,3114900,2803700,2782800
4439,Dunedin,Florida,1312,167300,161300,162100,155700,154900,153600,155200,160800,156200,159e3,154100,154700,146500,146700,151900,145900,143400,127100,123300,117e3,133700,138800,147100,149e3,155300,147200,141600,141700,138500,139600,141e3,144300,144200,130500,137900,148900,142800,132500,109200,116800,111e3,109100,106e3,102200,106400,111100,130500,133100,128900,122500,125800,138e3,137800,138300,115600,129500,123800,137e3,126600,133300,137500,135200,135500,134200,137200,142600,144600,142600,144100,144100,145400,144900,143700,141700,146900,153600,148900,141900,141500,155400,150500,149200,146e3,152700,158100,163e3,164200,169e3,170200,181e3,166500,162700,155400,167900,184600,191600,194100,184400,182800,183800,185200,183800,174700,177100,186400,202800,203400,219100,220400,226e3,213500,209900,207500,204200,211700,218500,223800,229700,241900,237800,237600,230900,240700,242400,235600,241600,237400,242600,238400,233500,
19005,Lexington,Massachusetts,1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680300,761200,759700,812600,828e3,829900,759700,697600,740500,790900,892400,848200,856700,817900,869400,855400,854600,810600,781600,798e3,759600,799500,737600,795300,810700,857400,851700,850700,897300,815800,847100,819700,909300,854500,869100,1099600,1142100,1165300,917900,938300,909100,843200,830800,832300,924600,939800,941200,1073800,1119e3,1141200,989600,903600,875500,877500,905900,914500,916700,886800,823200,9e5,956400,1054900,985900,957800,983700,950800,918100,905200,945200,
47502,Sahuarita,Arizona,1314,,,,,,,,,,,,,,,,175400,179500,163e3,168500,163e3,159500,156200,151200,157800,160700,156500,153600,152500,154800,158100,156e3,154100,144e3,136200,126600,122800,118e3,121100,123100,126900,125100,122500,129100,134200,140400,130200,141e3,144500,155400,141300,144300,147300,150400,146800,145800,158300,157700,151900,153400,161500,171700,174e3,173e3,173500,173800,170600,172700,166500,172500,171900,175600,174800,173700,176900,177200,180100,176600,177100,174500,204500,199500,197600,162e3,165800,172500,171600,185900,180500,185300,172400,170400,173200,168100,171200,174100,188500,189700,189400,183600,186700,19e4,194800,198300,196500,194500,188500,189800,182200,198600,189200,196900,180200,187900,183500,186500,196300,207200,216800,220100,221700,222600,213100,208200,208600,215600,212700,205800,202500,211100,,
46509,Merrick,New York,1315,495100,510200,505600,497800,475800,476300,473200,483700,497900,495900,489e3,451800,497400,491400,461900,428100,421900,428400,404500,489500,502900,511500,433800,437300,441100,446800,465500,486700,476200,450400,424300,420100,401200,422500,434900,459200,440200,471100,474e3,493300,460500,509e3,477200,465e3,413e3,436e3,443400,432100,383800,382300,389200,426100,422900,435300,417700,415800,418100,420900,425800,395900,428600,420100,422500,424400,441900,458900,454300,449600,453700,460800,460800,459e3,446e3,447400,455300,452900,461500,448100,455500,458900,483300,474400,480800,477700,481600,478800,474400,478500,473e3,475200,478500,477e3,457200,447600,439800,457600,468400,500600,501e3,509100,495e3,496e3,479600,482700,496500,520100,524600,531e3,527500,528700,531e3,523100,514900,522600,523e3,533400,511800,518100,532400,543800,558700,546500,529700,517500,529400,572700,591e3,585900,561700,551200,
17527,Collinsville,Illinois,1316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107500,113500,113e3,114400,113600,112500,115300,104900,101800,101e3,104900,11e4,95500,96200,85100,84200,82600,96700,99500,102600,98300,102200,109700,112900,115500,110600,112600,115300,111700,105400,106700,111600,114500,112300,112300,104300,104200,107300,121400,126500,130600,127500,119700,113100,110200,127e3,124200,115300,101900,97400,107900,108300,117900,125e3,124400,125100,112100,119600,115500,113500,108700,116400,
56396,Plainfield,Indiana,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159800,156600,157e3,158900,164800,161700,163200,167600,174700,173800,171700,167400,168e3,161100,161700,162900,169600,174900,173800,171800,173700,182200,181100,178700,162700,167200,166900,178900,179e3,180300,175100,185600,194200,204200,194e3,185700,189200,188500,186500,182900,185300,199700,
55153,Westwego,Louisiana,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83e3,76200,70900,70600,61500,62300,63100,67300,67e3,71500,74500,72e3,65500,69900,75100,83900,83700,82300,81200,65800,65e3,61e3,72e3,71700,75100,79800,81100,78800,77200,85100,89600,92100,74100,75500,65e3,75200,80500,85800,86200,79600,83700,8e4,69e3,71900,76300,82400,86700,93800,103500,104800,104800,91300,91200,87800,99e3,96500,94900,87e3,88100,97400,103100,102e3,106900,109900,105800,97400,92e3,
43098,Sylvania,Ohio,1319,166600,163700,163800,166800,165700,167600,181100,188e3,168800,155200,129300,135200,135900,153500,148800,148200,139400,148300,144100,148900,150300,163800,163e3,154600,147e3,157600,166400,171600,167400,169300,162700,156900,152200,163800,153900,141200,134700,145300,160500,159700,164600,160500,152600,141100,143400,145700,162800,163600,144200,140600,137200,158200,154800,151100,148200,147200,151e3,154900,164300,159700,157300,144800,151900,153600,159500,157100,159e3,164500,161900,162400,150900,161400,149800,158800,152400,169600,173400,177600,174800,164100,163200,159200,167800,162400,161800,158200,162100,156800,159300,163100,168900,166200,172300,180200,178100,173e3,174300,18e4,179e3,178900,172500,167900,161900,168800,175600,185700,190400,196300,191100,187900,186700,186e3,180100,183300,192600,202600,197600,187700,186600,183300,189900,190200,194700,193500,192200,191600,192900,197100,204500,199100,
